,error-test,error-train,fold,l2reg,model,n_samples-test,n_samples-train,site_index,std-test,std-train
281,40.1400764684,78.925074425,3,0.0,nam,63,566,9,81.3735362387,162.202205946
282,154.229095977,54.7166473194,4,0.0,mix,62,567,9,224.341884483,124.449640655
283,173.891416874,125.183849597,4,0.0,hrrr,62,567,9,240.470920266,307.402275209
284,162.740844011,59.1708114127,4,0.0,nam,62,567,9,235.407785248,132.70131413
285,26.5941579172,73.9794731805,5,0.0,mix,63,566,9,35.2098128579,150.647766839
286,169.711026788,125.718495707,5,0.0,hrrr,63,566,9,350.607669581,295.58583607
287,29.9001926958,79.4291981843,5,0.0,nam,63,566,9,47.0195835691,162.408926013
288,118.007897783,64.1074738191,6,0.0,mix,63,566,9,193.886164856,140.311453768
289,308.850796003,91.6161285196,6,0.0,hrrr,63,566,9,487.193812849,219.079620487
290,118.616160143,69.5876162714,6,0.0,nam,63,566,9,202.388288491,149.827774374
291,41.0545987514,73.2501217828,7,0.0,mix,63,566,9,50.325140808,150.497335252
292,39.2468363965,137.257238279,7,0.0,hrrr,63,566,9,62.4469915699,310.54960999
293,40.0232727537,78.9316766978,7,0.0,nam,63,566,9,60.8581977925,162.397747813
294,91.2491406949,68.0164954543,8,0.0,mix,63,566,9,156.768003029,145.905039539
295,96.1480401517,134.097063578,8,0.0,hrrr,63,566,9,178.48396181,309.804529862
296,96.0804942366,73.3551538818,8,0.0,nam,63,566,9,170.428442519,156.756863286
297,36.7266773752,73.5562704949,9,0.0,mix,63,566,9,34.664894193,149.817165421
298,23.0030818797,137.666627948,9,0.0,hrrr,63,566,9,30.5400901285,310.529367969
299,23.1256874302,79.6804984461,9,0.0,nam,63,566,9,30.1212186052,162.409126492
300,154.446495812,169.653245884,0,0.0,mix,61,552,10,193.387045043,224.71009382
301,193.435814455,253.47794937,0,0.0,hrrr,61,552,10,306.746126639,357.474423614
302,208.551678938,230.230793572,0,0.0,nam,61,552,10,294.089652786,322.110282772
303,170.00900571,168.036060057,1,0.0,mix,62,551,10,202.217667276,225.048846534
304,264.407016352,246.259004481,1,0.0,hrrr,62,551,10,304.196419714,358.071512363
305,210.876302624,230.029935501,1,0.0,nam,62,551,10,275.627733116,323.596375596
306,166.527078908,168.378614537,2,0.0,mix,61,552,10,214.831632479,223.115158869
307,225.233003449,250.559262522,2,0.0,hrrr,61,552,10,328.155491901,356.121057961
308,225.103405299,228.501698011,2,0.0,nam,61,552,10,304.940132912,321.207758473
309,175.774716033,167.397807459,3,0.0,mix,61,552,10,248.447305858,217.216823345
310,216.504477058,251.408092018,3,0.0,hrrr,61,552,10,349.943656146,353.954460553
311,224.383747928,228.579904012,3,0.0,nam,61,552,10,353.103841501,315.294476528
312,144.770780339,170.580972878,4,0.0,mix,61,552,10,196.753595837,224.416293394
313,220.09033555,251.06378116,4,0.0,hrrr,61,552,10,335.586789343,355.416948886
314,193.971778871,231.634966938,4,0.0,nam,61,552,10,273.066674147,323.563897806
315,165.058650194,168.642333594,5,0.0,mix,62,551,10,214.259826633,223.398186727
316,268.248505227,245.791078894,5,0.0,hrrr,62,551,10,396.71196581,347.671208272
317,217.72942216,229.310400738,5,0.0,nam,62,551,10,272.368182378,323.851950664
318,194.042753232,166.879666581,6,0.0,mix,61,552,10,268.95937038,219.298080025
319,318.121818159,239.170374667,6,0.0,hrrr,61,552,10,449.700380096,335.486161212
320,149.732812163,235.234001824,6,0.0,nam,61,552,10,188.28267282,326.428228925
321,154.090284547,169.693806735,7,0.0,mix,61,552,10,207.650182894,223.122866308
322,234.867058485,249.579859715,7,0.0,hrrr,61,552,10,330.372370355,355.979340258
323,236.538478097,227.221628256,7,0.0,nam,61,552,10,323.131449978,319.298394555
324,201.213686653,165.221921854,8,0.0,mix,62,551,10,263.409708464,217.796980638
325,212.711023158,251.831053624,8,0.0,hrrr,62,551,10,276.9079766,359.571611775
326,312.509008284,216.629510102,8,0.0,nam,62,551,10,416.179837597,298.936593517
